,id,sentence,price,quality,environment,service,other
592,160,we were there during happy hours and were told it ends at 7 pm  but the waiters stopped taking orders at 6 50 pm saying by they serve it would cross 7 pm ,,,,Negative,
593,160,doesn t that sound ridiculous ,,,,,
594,160,again they started serving in plastic glasses and we were demanding the glass ones  when the argument was not stopping i suggested my friends that we should go to 10d  to which the waiter present said we should go to 10d they use glass tumblers  after he said that we demanded meeting the manager ,,,,Negative,
595,160,the manager came and he was a nightmare  he did not have the courtesy to apologize on behalf of the waiter and started arguing with us  when we said we will give bad rating  review the manager said  ok sir  we are also dangerous people  we were shocked at this ,,,,Negative,
596,160,our evening was spoilt already  so we decided to move out of there and go elsewhere ,,,,,
597,160,this place is not at all professional  the staff and their business ethics are horrible  will never visit ever ,,,,Negative,
598,161,the worst biryani i ate in my life is this one,,Negative,,,
599,162,need to improve the food quality ,,Negative,,,
600,162,ordered hot choclate brownie with vanilla ice cream which was not good ,,Negative,,,
601,162,bownie was hard  no hot choclate found ,,Negative,,,
602,162,vanilla ice cream alone was good ,,Positive,,,
603,163,chicken peaces not frided properally    and quantaty and quality are very bad     i am seriously disappointed for these order wednes day offer so many peoples are exacted for u r offers but u r not mainted proper quaility    i am really disappointed     i never ever not ordered again  ,,Negative,,,
604,164,i have always loved this place but my recent experience was horrible ,,,,,
605,164,even after booking the table well before time   they gave me a table on 1 st floor with all stags around me  ,,,,Negative,
606,164,the worst part was that it was a friday where they say they allow stag entries ,,,,,
607,164,the service was equally poor ,,,,Negative,
608,165,the best place where you will get worst tangdi kabab ,,,,,
609,165,same is informed to staff rather taking action they try to convince us to eat         ,,,,,
610,166,quitity was not sufficient good,,,,,
611,167,didn t get my order ,,,,Negative,
612,168,the worst experience ever had ,,,,,Negative
613,168,if you order a biryani you ll get an oil packet free in it ,,Negative,,,
614,168,hope you can get it ,,,,,
615,168,if you ask for a manager they says there is no manager ,,,,Negative,
616,169,ordered a wok tossed millets a few months back and had a major stomach upset ,,Negative,,,
617,169,the quality of food seemed really bad that time ,,Negative,,,
618,169,although i tried reaching out to zomato customer care quite a few times they ended conversations saying someone from eat fit team will get back ,,,,Negative,
619,169,till date i haven t received any response from either zomato or eat fit,,,,Negative,
620,170,taste is wrost   even rice in biryani is bad  what to write comment for you guys ,,Negative,,,
621,170,please don t go and please don t order online good for nothing,,,,,Negative
622,171,this is a good joint that doesn t care for customer ,,,,Negative,
623,171,they accept order and don t care to deliver and they don t pick the call neither they respect customers ,,,,Negative,
624,172,food was not that bad but it took too much time to prepare the order by restaurant ,,Positive,,Negative,
625,172,i avoid this restaurant in future ,,,,,Negative
626,173,it s a pocket friendly but not a customer friendly club ,Positive,,,Negative,
627,173,have been here with my friend and i see the staff was busy with own works rather than offering a menu card ,,,,Negative,
628,173,when the same was raised with the manager  he was very arrogant asking us it can t be changed ,,,,Negative,
629,173,the place is a definitely a crowd puller but they should remember that even the best clubs go down the pecking order as the time goes ,,,,,
630,173,never going to visit this place again ,,,,,Negative
631,174,worst biryani i never tested ambiance is soo colourful to attract the customer i m giving 1 rating bcoz if the rating star is less than 0 i definitely give u 0 there is no restaurant bcoz ur face will be smashed after they ate bloody biryani,,Negative,Positive,,
632,175,preparation was not good,,,,Negative,
633,176,there were offers running around and we ordered chilli chicken and chicken 65 from this place ,,,,,
634,176,even though having average reviews thinking that the food might be ok but then the food was average and it was not fresh i guess and so it affected our health ,,Negative,,,
635,177,there are garlic peels in my garlic naan ,,Negative,,,
636,177,not just one but almost every where ,,,,,
637,177,staff was least bothered in this concern ,,,,Negative,
638,177,they don t remove garlic peels from naan,,,,Negative,
639,178,this time they degraded the quality   they gave 2 pice of chicken and rest rice  ,,Negative,,,
640,179,i was ordered egg biryani but i was found a chicken piece in egg biryani how iam eat now   the restaurant people is such a worst people nd west restaurant in that area  ,,,,Negative,
641,179,  ,,,,,
642,179, ,,,,,
643,180,pathetic staff and no courtesy ,,,,Negative,
644,180,gives only big cakes not slices     utter stupidy  not warm welcome and even doesn t offer any other options as a token of good customer service or doesn t even offer any other options ,,,,Negative,
645,180,this not the way to function as a service industry ,,,,,
646,181,i ordered big 8 meal  they cheated    sent me just big 8 bucket ,,,,Negative,
647,181,i will never order here again ,,,,,Negative
648,181,they should at least read the order correctly ,,,,Negative,
649,182,the hotel is full cheating we are very much disappointed  ,,,,Negative,
650,182,it is not worth going  ,,,,,Negative
651,182,buffet is full cheating we are fed up   ,,,,Negative,
652,182,the varities are less and the buffet is like alakarta  ,,Negative,,,
653,182,food is also so so,,Neutral,,,
654,183,please deliver in time when you take an order ,,,,Negative,
655,183,your service sucks ,,,,Negative,
656,183,and so does your delivery algorithm  ,,,,Negative,
657,183,how can you show 0 minutes for 15 minutes near the delivery location,,,,Negative,
658,184,ordered mushroom curry from pakwaan grand via zomato ,,,,,
659,184,the worst chicken non veg curry   with no chicken ke naam par ek bons how can anyone serve piece first   last time  no more ordering ,,Negative,,,
660,185,i ordered chilli potato with fried rice box and i specifically mentioned the spicy box ,,,,,
661,185,but maybe the restaurant does not know what does spicy means and u can also see that the color of rice is nearly equal to white ,,,,Negative,
662,185,it was totally waste of money ,Negative,,,,
663,185,chilli potato was even worst in this  ,,Negative,,,
664,185,i ll suggest you to never order from this place ,,,,,Negative
665,186,i had been waiting 1 hour 26 min to receive my order and i didn t get any information from zomato as well as dominos  the contact numbers that mentioned in the message didn t work at all ,,,,Negative,
666,186,finally i got a call from delivery guy after 1 hour and he said will be there in 3 min ,,,,,
667,186,but still waited 26 min infront of my gate to see the delivery guy ,,,,,
668,186,the worst thing was i couldn t eat that pizza since it was harder than the packing box,,Negative,,,
669,187,i have ordered chicken shawarma paratha  which was smelling worst and tasting bitter ,,Negative,,,
670,187,money and hunger both went in vain ,Negative,,,,
671,187,never order food from this place ,,,,,Negative
672,188,aloo curry was old and smelly ,,Negative,,,
673,189,ordered chicken lollipop as a starter  but received them as burnt salty and wet instead of dry snack ,,Negative,,,
674,189,egg fried rice was ok  chicken kadai curry was not tasty at all  chicken seems to be old stock ,,Negative,,,
675,189,veg rolls looked like dosa roll instead ,,Negative,,,
676,189,rolls should be crispy with stuff not coming out ,,Negative,,,
677,189,didn t like the food at all  ,,Negative,,,
678,189,i m not gonna order it from here again ,,,,,Negative
679,189,price also on the higher side but food is not worth the price ,Negative,,,,
680,190,the packing of the restaurant was pathetic   the boxes were crushed and wet when reached me,,,,Negative,
681,191,i m usually order mutton over load wrap   but this time it was he ll ,,,,,
682,191,the wrap wasn t looking like the usual ,,,,,
683,191,it smells wrong ,,Negative,,,
684,191,did something went wrong       ,,,,,
685,191,i don t think i m eating mutton ,,Negative,,,
686,191,  this is something else entirely ,,,,,
687,192,we went for a lunch outing here ,,,,,
688,192,it s located at dlf ,,,,,
689,192,the ambience is good and we expected a good meal ,,,Positive,,
690,192,we ordered chicken tangdi  mutton biryani and coke ,,,,,
691,192,first thing we got was chicken tangdi and what i instantly noticed was that it was deep fried  which is not a norm and wasn t juicy  all we could taste was charcoal ,,Negative,,,
692,192,this made our expectations very low ,,,,,
693,192,in the mean time  i asked them to get the coke i ordered  it wasn t chilled ,,,,,
694,192,hence  i requested them to get ice ,,,,,
695,192,to my surprise  they had no ice ,,,,Negative,
696,192,and finally  we got our biryani ,,,,,
697,192,it was not bad  but  there were no meaty pieces of mutton  only bones ,,Negative,,,
698,192,my advice to you all would be that the food is edible but don t keep your expectations too high ,,,,,
699,193,the paneer paratha is not good as expected ,,Negative,,,
700,193,it need to be improved ,,,,,
701,193,the paneer stuffed insided paratha is not seem to be fresh instead it look like worst paneer that i had eaten so far ,,Negative,,,
702,194,worst paneer manchuria i ever ate till now    total money waste ,Negative,Negative,,,
703,194,this restaurant should be removed from zomato ,,,,,Negative
704,195,had ordered veg pulao   rajma  it didn t seem fresh    however i consumed it   couldn t sleep whole night because of vommiting   loose motion ,,Negative,,,
705,195,will never order food from eat fit again ,,,,,Negative
706,196,we had an unhappy dinner ,,,,,
707,196,really very slow service  least interested to bother or care about the customers ,,,,Negative,
708,196,waited for 45 mins to be served cold food  almost the leftover  ,,,,Negative,
709,196,lack of cleanliness ,,,,Negative,
710,197,this review has been long overdue and i have finally managed to get some time out to do so ,,,,,
711,197,so 4 of us visited mazzo on the 14th of feb and chose the veg   non veg options accordingly from their menu  pre decided ,,,,,
712,197,at 2500 inr plus taxes per head we expected the basics  quality service   excellent food ,,,,,
713,197,imagine our shock when we received exactly the opposite ,,,,,
714,197,1,,,,,
715,197,the linen on the table we were seated at had cigarette holes in it ,,,,Negative,
716,197,2,,,,,
717,197,the livery was stained ,,,Negative,,
718,197,3,,,,,
719,197,the restaurant hadn t set up yet even though it was 2130 hrs by the time we arrived ,,,,Negative,
720,197,4,,,,,
721,197,instead of being given comfortable seating  we were given plastic chairs with white wraps on them ,,,Negative,,
722,197,5,,,,,
723,197,the cream of asparagus soup was like toilet water ,,Negative,,,
724,197,so was the avocado chicken corn chowder soup ,,Negative,,,
725,197,they refused to give us extra croutons because we ve already eaten too many ,,,,Negative,
726,197,what else is one supposed to do when you are served such bad tasting soup ,,,,,
727,197,6,,,,,
728,197,the bharwab subz kebab was dry like dried meat  the grilled buffalo chicken was terrible smelling only   how to eat   the lamb galouti was decent and the vegetable lumpia was oily and tiny ,,Negative,,,
729,197,  all in all the appetizers were equally useless ,,Negative,,,
730,197,7,,,,,
731,197,moving onto the main course now   for the vegetarian me  i was given a choice between the anjeer kesar kofte and spinach   ricotta ravioli ,,,,,
732,197,i obviously chose the latter d uh ,,,,,
733,197,big mistake ,,,,,
734,197,when i asked the server why the ravioli was so dry  i was told that the halogen lamp made it so ,,Negative,,,
735,197,then why keep it under the lamp for so long ,,,,,
736,197,and the former you ask  it was so sweet  it was like drinking chaasni   the sugar water from the rasgulla or gulab jamun dabba ,,Negative,,,
737,197,8,,,,,
738,197,not like the non vegetarians had it any better ,,,,,
739,197,6 hours braised lamb shank or nalli nihari or murgh methi ,,,,,
740,197,lamb   it was more bones than lamb and also  baby lamb such a tiny piece that my husband had to eat another dinner after we got home ,,Negative,,,
741,197,nalli nihari   more like nal ka paani ,,,,,
742,197,no taste no nihari ,,Negative,,,
743,197,murgh methi   whywhywhy so many bones in a dosh which one assumes is boneless and that too in a 5 star hotel ,,Negative,,,
744,197,roti you ask ,,,,,
745,197,  please do not ,,,,,
746,197,9,,,,,
747,197,and last but not the least  dessert ,,,,,
748,197,vanilla bean pannacotta   i make better pannacotta and i just wanted to cry ,,,,,
749,197,the coulis was just sugar water with some red colouring ,,Negative,,,
750,197,kesar malai kulfi   this was bought from scoops ,,Negative,,,
751,197,the server told us also ,,,,,
752,197,the only thing on the menu that tasted fantastic ,,Positive,,,
753,197,ate 4 and went home ,,,,,
754,198,look at the quantity of icecream charging 175 and the product should be worth to it right       and the brownie is not at all backed its completed rock chilled,,Negative,,,
755,199,eagerly waited for food with kids     only half order delivered    spent rest of the time chasing the rest of the order                                      ,,,,Negative,
756,200,ordered nellore chapala pulusu and andhra kodi kura ,,,,,
757,200,both are worst awful tasteless pathetic ,,Negative,,,
758,200,dont waste your money and time  complete useless stuff ,,,,,Negative
759,201,no proper food ,,Negative,,,
760,201,wouldn t recommend to anyone ,,,,,Negative
761,201,they dont even bother to come when we call them ,,,,Negative,
762,201,forget about serving us ,,,,Negative,
763,201,very bad experience ,,,,,Negative
764,202,manager was so cheap n attitude showing ego to the guest   we visited thrice this time    management pliz take serious action to the manager or else he vil let the business down  ,,,,Negative,
765,203,cant even give a straw with shake how am i supposed to drink ,,,,,
766,204,less quantity,,Negative,,,
767,205,the one star is not for food  it s pretty decent ,,Positive,,,
768,205,i visited with my friends and the crowd was really less ,,,,,
769,205,we were there for a short period of time and awaiting our cab ,,,,,
770,205,the staff was constantly asking  aap ka hogaya   ,,,,,
771,205,we informed that we are waiting for our cab and the one of the staff member pointed out there is your cab ,,,,,
772,205,they just wanted to get rid of us  was the place crowded no ,,,,Negative,
773,205,were we eating there for free ,,,,,
774,205,no ,,,,,
775,205,never visiting this place again   ,,,,,Negative
776,206,i have been to this place for my team lunch on 22nd feb  we opted for buffet ,,,,,
777,206,just to serve the soup they took 20 mins and starters for another 15 mins ,,,,Negative,
778,206,apparently they didn t serve the soup to all my team members and when we tried talking to the manager he was not available neither the servers ,,,,Negative,
779,206,they hardly have any options available for veg or non veg ,,,,Negative,
780,206,food taste is not great and whole service is pathetic ,,Negative,,Negative,
781,206,what we thought will be a memorable time resulted in frustration for choosing this place ,,,,,
782,206,not going again neither recommend ,,,,,Negative
783,207,this is the worst barbeque   i have ever seen in my life ,,,,,Negative
784,207,barbeque for name sake ,,,,,
785,207,no barbeque item like paneer  fish was baked properly ,,Negative,,,
786,207,waste of money,Negative,,,,
787,208,the place lost its charm and service ,,,,,
788,208,things like drinking glass with bottle of water that too 1 glass in the whole restaurant  ,,,,,
789,208,serving plate with food is something you have to ask for ,,,,Negative,
790,208,tissue paper on table is missing again ask for it ,,,,Negative,
791,208,in all my last visit as everything have shelve life    rip chocolate room  ,,,,Negative,
792,209,awful burger ,,Negative,,,
793,210,kya gaand wala khana banaye aapne   sala kutta bhi ulti karega ise khake             phir uska zaroorat se zyada packing kiya   ,,,,,
794,210,kya faida khana acha nahi hai   dukaan band kar ke chai bhej,,,,,
795,211,fine that you are taking cover charge but why are you deructing rs250 we did not get place to seat then why is this defuction are you not going to take service charge ,,,,Negative,
796,212,5 tiny veg momos is what you get for rs 75 ,Negative,Negative,,,
797,212,hyderabad is paradise for food lover but this place is a blot on hyderabad ,,,,,
798,212,added a pic ,,,,,
799,212,this is what you get in momos ,,,,,
800,212,please avoid,,,,,Negative
801,213,worst service and behaviour is extremely rude and unprofessional by d staffs as well as manager ,,,,Negative,
802,213,manager is short tempered and unsocial ,,,,Negative,
803,213,i ll never suggest for this pub ,,,,,Negative
804,214,no option to give zero or less   visited the place with friends during the happy hours    food and drinks  friends has opted for whiskey and myself has ordered for mocktail  requested for less sugar syrup   which was not honoured at all    food portion was so less that a kid can gulp it at one go   some of the items were reheated and served  ,,Negative,,Negative,
805,214,the biggest surprise came along with bill   they thought the group was drunk and no matching to the number of drinks ordered vs billed   serious integrity issues   we called them to correct which took good amount of time  least bothered to apologize or explain   no go place  blocked the place  ,,,,Negative,
806,215,food is awesome  but delivered food after 1 30 hours late when called and asked they replied  there are lot of orders this is not fare we waited almost 90mins for 20mins delivery,,,,Negative,
807,216,biiyani which you was deliveyed was worst ,,Negative,,,
808,216,till the date i haven t eat this kind of biiyani ,,,,,
809,216,worst taste ,,Negative,,,
810,216,i can t even eat it ,,Negative,,,
811,216,i kept the biiyani in the dust bin ,,Negative,,,
812,216,and also i have order kaju biiyani  and i did not get even 5 kaju  pieces also                                                     ,,,,Negative,
813,217,very poor quality food and service ,,Negative,,Negative,
814,217,surprised to find such a restaurant on zomato ,,,,,
815,217,seemed like they have taken customer satisfaction for granted ,,,,,
816,217,please look into it ,,,,,
817,218,worst pizza i have ever had ,,Negative,,,
818,219,i visited on 27th nov morning around 11am to pick up a cake ,,,,,
819,219,the outlet was medium crowded ,,,,,
820,219,as i pick up my cake and go ahead for billing  i see only one out of three billing counters is operating ,,,,,
821,219,although i was the second one in the cue but the family whose billing was under process had more than 4 basket filled with items which approx would have more than 40 items ,,,,,
822,219,in not less than 5 mins the cue extended till 5 people waiting for the billing ,,,,,
823,219,when asked to the manager  to operate other billing counters he replied  we don t have manpower  ,,,,Negative,
824,219,frustrated with the cue  we asked how can you just have manpower for one billing counter where you have machinery available for 3 he replied   we don t have money to hire  ,,,,Negative,
825,219,what an experience ,,,,,
826,220,ordered mix veg and tandoori roti twice in a gap of 10 days  first time it was awesome food forcing us to repeat the order ,,,,,
827,220,second time it was real disaster ,,,,,
828,220,terrible food  burnt roti and not so good subzi as well ,,Negative,,,
829,221,ordered momos from swiggy and this is what i get  stinky and broken momos ,,Negative,,,
830,221,i have never seen such worst and bad momos ever in my life ,,Negative,,,
831,221,i ll never order anything from here again,,,,,Negative
832,222,i got cheese corn parantha ,,,,,
833,222,while i had ordered mexican corn,,,,Negative,
834,223,i went here earlier some time back and was really impressed ,,,,,
835,223,loved the sizzlers   so i recommended it for a team lunch ,,,,,
836,223,they preferred buffet  so instead of going for different kinds of sizzlers  we went ahead with the buffet ,,,,,
837,223,the most disappointing part was   despite a reservation for 12 30 pm  nothing was served till 12 55 ,,,,Negative,
838,223,no body even looked at the table  as they did not want to even respond ,,,,Negative,
839,223,we can accept a delay but negligence is not acceptable ,,,,Negative,
840,223,we had to go back to them and ask for water and keep inquiring when the food would be ready ,,,,,
841,223,finally they served and none of us liked the food ,,Negative,,,
842,223,all they could relish was coke and gulab jamun ,,,,,
843,223,even if the food was not good  i would not give such rating ,,,,,
844,223,but the service is very disappointing ,,,,Negative,
845,223,if if there is an issue  we would be glad to understand the reason for delay ,,,,,
846,223,but being rude and ignoring when we are at a restaurant was least expected ,,,,Negative,
847,223,don t think i would go back there again ,,,,,Negative
848,224,i am waiting for 25 mint ,,,,Negative,
849,224,staff this is eignor i tollk to not care ,,,,Negative,
850,224,i am regular customer  last bling time very very pathetic experience ,,,,,
851,224,customers we have don t talk me ,,,,,
852,224,we have respect for guests ,,,,,
853,224,you have caser not respected ,,,,Negative,
854,224,i am customer  plz plz plz manager be careful to the caser we not have respected hin very pathetic bave ,,,,,
855,224,i am regular customer ,,,,,
856,224,last and fast,,,,,
857,225,not good at all ,,,,,Negative
858,225,tonight i went there ,,,,,
859,225,ac section has different charges ,,,,,
860,225,i tried alsaba special currie s also grill chicken neither of the dish was good ,,Negative,,,
861,225,only biryani is considerable ,,Neutral,,,
862,226,they have mentioned as special chicken shawarma but nothing special in it and surprisingly no chicken in chicken shawarma ,,Negative,,,
863,226,quantity is also very less  don t prefer this place for chicken shawarma ,,Negative,,,
864,226,it s waste of money to order from this place,,,,,Negative
865,227,you need to improve your packing ,,,,Negative,
866,227,had ordered veg thai green curry with rice ,,,,,
867,227,by the time it was delivered to me  curry had splashed all over the container   even leaking from package ,,,,Negative,
868,227,zomato delivery person said it leaked while getting it ,,,,Negative,
869,227,had second thoughts abt whether to consume it or not ,,,,,
870,228,pathetic experience i have had in recent times ,,,,,Negative
871,228,arrived for buffet at 2pm i  saturday afternoon ,,,,,
872,228,the food was cold as ice  no starters at the food table and support staff least bothered about checking on food and customers ,,Negative,,Negative,
873,228,the only thing that was severed as per it s level was the welcome drink and unsatisfied food experience ,,Negative,,,
874,228,until raising voice at the restaurant and threarting them on not paying the is when they got the attention and realized that shit food was cold ,,Negative,,Negative,
875,228,later is when they got the hot food which no variety and disappointed good experience ,,Negative,,,
876,228,will not prefer anyone to visit this place and was a disappointing experience for a office team lunch and regret choosing this place as option ,,,,,Negative
877,228,really disappointed,,,,,Negative
878,229,all nana were burnt   paneer curry was tasteless,,Negative,,,
879,230,till now this is the worst shawarma what i tasted very very bad taste and worst very dry and oily this is the best in bad taste quality of a chicken is also very bad,,Negative,,,
880,231,we went here for a friend s birthday ,,,,,
881,231,the service is extremely bad ,,Negative,,,
882,231,the servers routinely forgot orders and various dishes didn t come and they still charged us for the same ,,,,Negative,
883,231,we had to fight to get those off the bill ,,,,,
884,231,the food is also bland and nothing to write home about ,,Negative,,,
885,231,extremely disappointed ,,,,,Negative
886,231,not at all recommended ,,,,,Negative
887,232,mutton biryani was worst ,,Negative,,,
888,232,no proper taste  less pieces that too not prperly cooked ,,Negative,,,
889,232,worst experience,,,,,Negative
890,233,came to get dinner  made a reservation in advance ,,,,,
891,233,sat for the first 10 mins waiting for someone to get a menu and water   after 20 mins of waiting for water and asking a few times for someone to take the order we decided to leave when no one came ,,,,Negative,
892,233,still no questions asked on why we re leaving ,,,,,
893,233,i guess one can plan a visit if they have a lot of time in their hands and or are not hungry ,,,,,
894,233,had heard good things but this experience changes my mind completely ,,,,,
895,233,won t recommend it for the service,,,,Negative,
896,234,please never ever think of ordering noodles here ,,Negative,,,
897,234,it was too oily and only noodles with paneer ,,Negative,,,
898,234,who puts paneer in chinese hakka noodles  ,,Negative,,,
899,234,  ,,,,,
900,234,and then adding to the taste  the delivery was very delayed  this is zomato  fault  agreed  ,,,,Negative,
901,234,indian food is good which they are good at ,,Positive,,,
902,235,no maple syrup with pancakes and waffles ,,Negative,,,
903,235,if no maple syrup is to be included in your combo please specify it but serving pancakes and waffles without syrup or anything else is simply not acceptable ,,Negative,,,
904,235,this is the second time this has happened ,,,,,
905,236,i suggest pls pls don t visit this place  ,,,,,Negative
906,236,such a worst food i never experienced ,,Negative,,,
907,236,the worst experience is i found a bug in a blue berry cheese cake and also so many flies  ,,Negative,,,
908,236,i would rate 0 if i had a chance  ,,,,,
909,236,no smiling service would again and again suggest don t visit this place ,,,,Negative,
910,237,hyderabad s most worst and ugliest biryani i had yesterday from the restaurant eat fit and this worst restaurant people not allowing zomato people quick to the destination delivery points  it has been 2hr late i have received from the biryani from eat fit  just disguised about the biryani of the eatfit alaasss   this is a horrible biryani i had ate in hyderabad,,Negative,,Negative,
911,238,ulavacharu is well known for its taste ,,Positive,,,
912,238,but the service i received today was the worst and this is not the first time even after complaining to the manager about it he did not even apologize for it and moreover he delivered me mutton instead of chicken and when asked about it he was like this is chicken and he tried blaming me instead  ,,,,Negative,
913,238,the way they behaved was worst  ,,,,Negative,
914,238,manager named veera babu was very rude too ,,,,Negative,
915,238,he was not even responding whatever we ask he said i am the sole owner and no one is above me ,,,,Negative,
916,238,even after we paid the bill they behaved rude ,,,,Negative,
917,238,i do not recommend going here  ,,,,,Negative
918,239,tasteless   worst food ever i ate  had one bite and had to throw rest   also not hygeine at all ,,Negative,,,
919,239,when it comes to packing even road side vendor do better than these people ,,,,Negative,
920,240,very high priced low quality food,Negative,Negative,,,
921,241,i ordered from eat fit and sorry to say the food was at all not good ,,Negative,,,
922,241,both taste and quantity were below my expectations ,,Negative,,,
923,241,the food i ordered was masala egg curry with vegetable pulao with order id  1676056120  zomato delivery guy when delivered i realized that curry was spilling from the box ,,,,Negative,
924,241,when enquired he said this is packaging problem ,,,,Negative,
925,241,after zomato incident all the restaurant have changed their packing but eat fit seems to be not bothered ,,,,Negative,
926,241,after opening the box the food was just half a bowl ,,,,,
927,241,rice taste seems to be of very low quality ,,Negative,,,
928,241,bad service from eat it and from zomato ,,,,Negative,
929,241,my first and last order from eat fit ,,,,,
930,241,already uninstalled zomato  ,,,,,
931,241,overall very unpleasant experience ,,,,,Negative
932,242,very bad    i didn t expect this quality and taste   ,,Negative,,,
933,243,naans are totally burned unable to eat ,,Negative,,,
934,244,food quality is very poor today i ordered veg momo this quality of food is very worst i can t able eat dont buy from here ,,Negative,,,
935,244,such a shameful service ,,,,Negative,
936,245,lol ,,,,,
937,245,i paid 345 bucks for what tasted like ready made pasta without any salt in it  along with a tiny  flaky piece of bread  that had neither butter nor garlic  wrapped in aluminium foil ,,Negative,,,
938,245,i ve seen more effort from places that charge 200 bucks for a dish ,,,,,
939,245,it was bad ,,,,,Negative
940,245,i counted three pieces of capsicum  total ,,Negative,,,
941,245,most half assed pasta i ve had in years ,,Negative,,,
942,245,super disappointed ,,,,,Negative
943,246,food was alright a good 8 10  but  there was almost zero attention given to us in terms of service   and we had to wait a good 10 minutes even before we were given the menu ,,Positive,,Negative,
944,246,and  this was at a time  when the only table occupied inside the restaurant was us ,,,,,
945,246,outside  there were probably 2 tables occupied ,,,,,
946,246,surprising that they couldn t manage 3 tables ,,,,Negative,
947,246,maybe this is a harsh review and there was an event happening at the hotel and they were understaffed   but  for a hotel chain like hyatt  not acceptable ,,,,Negative,
948,247,not a nice experience ,,,,,Negative
949,247,the burger had a grill impression but was not cooked and was raw   ,,Negative,,,
950,247,the fried veggies was not having taste ,,Negative,,,
951,247,the dip was also not interesting,,Negative,,,
952,248,ordered gadwal kodi pulav  it had no salt ,,Negative,,,
953,248,no resolution on it even after complaining that it had no salt ,,Negative,,Negative,
954,248,the quantities served are very less  so everyone who think one pulav will serve two  to need to order one for each ,,,,Negative,
955,249,been exploring about restaurants in gachibowli and found this place ,,,,,
956,249,been to this restaurant ordered chicken drumsticks and spl chicken biryani which tasted really good  finally ended with a good dinner ,,Positive,,,
957,249,as the taste was good ordered a non veg combo next day and surprised to see a cockroach in the meal ,,Negative,,,
958,249,it was really a bad experience to see a cockroach where the restaurant has taken away all the positive views that i had towards it ,,,,,
959,249,please don t play with health of customers  it takes time for anybody to order food again if we come across these situations ,,,,,
960,249,please note that restaurants shouldn t be the place to hospitalise customers by making them unhealthy ,,Negative,,,
961,249,apologies will not do anything  maintain healthy and hygiene environment ,,,,,
962,249,thank you olive  you lost a customer and i will not visit this place anymore ,,,,,
963,250,i am wondering if i had ordered thick shake or an ice cream   thick shake will have better consistency than this   most of my previous orders were in the same condition  yet i gave them 3 or 4 star considering the reputation of the brand    not any more ,,,,,
964,250,spending 150  on something like this is utter waste  ,Negative,Negative,,,
965,250,if you guys couldn t provide ice cream in proper way then please stop giving home delivery   despite of the fact that there is hell lot of dry ice in the package the ice cream came was in that manner ,,,,Negative,
966,250,i wonder if i can actually call this as an ice cream ,,,,,
967,250,some times u guys forget to keep dry ice and sometimes the ice cream gets completely melted       not satisfied with your ice cream ,,,,,
968,250, ,,,,,
969,250,not worth spending a single rupee on this one ,,,,,Negative
970,250,i was trying to take a pic and then this happened ,,,,,
971,250,i didn t keep pressure while holding ,,,,,
972,250,you can understand how liquid the consistency is just by looking at the picture ,,,,,
973,250,i didn t had a single spoon of ice cream from it and not a single drop of it fell out ,,,,,
974,250,both quantity n quality was not good ,,Negative,,,
975,250,i understand that ice cream melts but not at this rate ,,,,,
976,250,i place was less than a km away and delivery guy can reach in just 3 minutes ,,,,,
977,250,despite of the distance and presence of dry ice  the ice cream melted completely ,,,,Negative,
978,251,the worst experience ,,,,,Negative
979,251,we told them that we ll be unlocking zomato gold and they said yes ,,,,,
980,251,come the bill without gold benefits    then they started arguing with us that we didn t tell them about zomato gold ,,,,Negative,
981,251,p s ,,,,,
982,251,  don t order pasta here   or maybe do if you like sloppy goo ,,Negative,,,
983,252,the food is ok  could be better ,,Positive,,,
984,252,but coming to customer service  i rate negative ,,,,Negative,
985,252,the cashier s behaviour is utterly distasteful ,,,,Negative,
986,252,constantly talking over phone without giving a rats ass to the customer ,,,,Negative,
987,252,behaviour of the restaurant managers doesn t make the place seem safe especially when you re with a lady ,,,,Negative,
988,252,very uncomfortable feel ,,,,,Negative
989,252,avoid it ,,,,,Negative
990,253,stag entry not allowed on a thursday night ,,,,,
991,253,extremely disappointed ,,,,,Negative
992,253,it was a birthday of a friend and a group of 9 ,,,,,
993,253,we said that we will confine ourselves to a secluded corner but were denied ,,,,,
994,254,went for a lunch buffet ,,,,,
995,254,the best item i had from their spread is cut watermelon ,,,,,
996,254,is this real hyatt or fake ,,,,,
997,254,more than half of the items were served cold ,,Negative,,,
998,254,every crispy item was soggy as if it was out in open for 2 3 days ,,Negative,,,
999,254,i want to rate this place with no stars ,,,,,Negative
1000,254,i will advise everyone in my circle against visiting here for lunch  ,,,,,Negative
1001,254, ,,,,,
1002,254,choose any other place ,,,,,
1003,255,i ordered food from this restaurant ,,,,,
1004,255,the zomato valvet cancelled my order without notifying me ,,,,,
1005,255,i didnot got my refund as well as food ,,,,,
1006,255,my money got wasted and i starved for so long ,,,,,
1007,255,very poor service i must say ,,,,Negative,
1008,255,and most important thing  money is hard earned and if we are spending on something we ll definitely need it ,,,,,
1009,255,but my money got wasted ,,,,,
1010,256,i had this ice cream tooty fruity ,,,,,
1011,256,it was so horrible ,,Negative,,,
1012,256,there were pieces of something that were tasteless and they put so much nuts and other bullshit that the only thing that was okay the actual ice cream i couldn t have the taste of that too ,,Negative,,,
1013,256,i literally puked the entire thing after having a severe stomach ache ,,Negative,,,
