,sentence,price,quality,environment,service,other
1363,spicy pasta despite asking for no spice ,0,0,0,1,0
1364,no manager on site to complain ,0,0,0,1,0
1365,bring someone here if you wanna embarrass them ,0,0,0,0,0
1366,worst packing milk shake is leaked to outside ,0,0,0,1,0
1367,worst experience ever  mandi lovers please avoid visiting this place to avoid huge disappointment  post office hours visited the place to have mandi  ambience was below average  there were no customers in the restaurant  we ordered 3 mandis  which has arrived after 30 minutes and the rice was cold and not tasty at all  the meat served was so tough  waste of money  not at all worth  please donot visit this place by seeing 4 2 stars in zomato profile  we will never go back to this place again ,0,1,1,0,0
1368,would have given zero stars if i had a option  over all this place is just waste of your time and money ,0,0,0,0,0
1369,me and boys went to watch match here  we are regular customers here ,0,0,0,0,0
1370,but manager asked us to leave abruptly in between the match ,0,0,0,0,0
1371,he called bouncers upon us which was totally unnecessary ,0,0,0,0,0
1372,can t have a good time here ,0,0,0,0,0
1373,won t recommend this place ,0,0,0,0,1
1374,i didn t got the order and i kept calling the delivery guy and he was not receiving my call ,0,0,0,1,0
1375,i don t know what is wrong with the delivery boy literally pathetic service,0,0,0,1,0
1376,how can be polite and friendly while writing review  if we are not getting what we order ,0,0,0,0,0
1377,ordered a mutton hundi in zomato and got chicken hundi ,0,0,0,0,0
1378,how ridiculous and irresponsible ,0,0,0,0,1
1379, no one is a royal guest     food   2 7 ambiance   3 7 service   3 7 vfm  2 7  i unfortunately took my guests to khaan saab and learnt a life lesson   never try experiement new places when you have guests       we ordered mutton galauti kebab  mirchi chicken tikka and paneer tikka for starters   what place doesn t have mint chutney when you serve kebabs    ,0,1,0,0,0
1380,yes  they dint have mint chutney   and galauti kebab was so difficult to finish    pata soup was no better too  ,0,1,0,0,0
1381,in main course we ordered tikka biryani and veg biryani   and they dint have mirchi ka salan in this   tikka biryani was sweet on taste  ,0,1,0,0,0
1382,it actually tasted like drumstick curry to me  ,0,1,0,0,0
1383,such weird analogy but true   raita was the only thing i liked of all  ,0,0,0,0,0
1384,they dint have lassi soda or milk shakes too  ,0,0,0,0,0
1385,i dint even bother to click any pics   what a way to disappoint my guests     ,0,0,0,0,0
1386,taste was pathetic    i didn t like it    ,0,1,0,0,0
1387,roadside ice cream would be better than this ,0,0,0,0,0
1388,i ve been coming to this branch on a weekly basis ,0,0,0,0,0
1389,off lately  like from 4 weeks or so  whenever i ask for the beer of my choice kf ultra or kf draught   you guys just bluntly tell me that it s not available ,0,0,0,0,0
1390,once  i ve asked karan directly and he told me that they d be available only during the weekdays ,0,0,0,0,0
1391,i ve visited this place today i e ,0,0,0,0,0
1392,wednesday and it s the same story  again ,0,0,0,0,0
1393,i m forced to order heineken or bira ,0,0,0,1,0
1394,the worst part was when i was about to push off after our hangout  i ve seen almost everyone inside drinking towers of draught beer and when i ve asked  they just ignored and didn t even care to respond ,0,0,0,0,0
1395,like really ,0,0,0,0,0
1396,speaking on everyone s behalf  it could be a budget constraint or someone s personal preference of beer  but not providing equal service to every customer is unprofessional and i m really disappointed this time ,0,0,0,0,0
1397,well  what can i say  mustang is much better they offer everything in the menu ,0,0,0,0,0
1398,i never expected that i d drop such a review for one of the most happening pubs in hyd  but i really can t help it this time ,0,0,0,0,0
1399,work this out asap ,0,0,0,0,0
1400,no taste waste of money,0,1,0,0,0
1401,had the misfortune of visiting this place on new years day ,0,0,0,0,0
1402,we were given the run around with the table  then it took them 30 mins to take our order only to forget all about it ,0,0,0,0,0
1403,after an hour of reaching the place we realise the food isn t even ready ,0,0,0,0,0
1404,not even an apology ,0,0,0,0,0
1405,thoroughly disappointed ,0,0,0,0,0
1406,decor n all great ,0,0,0,0,0
1407,reviews bought me here with high expectations ,0,0,0,0,0
1408,the food was rancid and didn t look well prepared or freshly made ,0,1,0,0,0
1409,i ordered some cheese kofta ,0,0,0,0,0
1410,it was hard as a rock that kofta ,0,1,0,0,0
1411,overall super weird punjabi food ,0,1,0,0,0
1412,easy on the pocket but it s not something i would try again,0,0,0,0,1
1413, writing this review as soon as i got out of the restaurant  from the beginning itself the restaurant caught my bad impression and bad experience ,0,0,0,0,0
1414,left right after starters ,0,0,0,0,0
1415,i wouldn t even care to rate it one star ,0,0,0,0,0
1416,one of worst restaurants to dine in ,0,0,0,0,0
1417,i think it ll be good experience for corporate lunches or dinners because the more the people the more the    after reaching at 2 pm there was no receptionist ,0,0,0,0,0
1418,after the receptionist finally came they made us wait for more than 20 minutes to find and set up the table for just 2 people ,0,0,0,0,0
1419,it was very clear that the tables just needed plates to be arranged ,0,0,0,1,0
1420,that s it ,0,0,0,0,0
1421,a piece of advise to y all  if you see any restaurant taking this long without any valid reason then please get outta there ,0,0,0,0,0
1422,neither proper ac chambers nor proper cooling ,0,0,1,0,0
1423,it was hot ,0,0,0,0,0
1424,thanks pot pourri for understanding and making our dining uncomfortable  ,0,0,0,0,0
1425,after we sat they took extremely long time and then cared to ask if we re opting for veg or non veg ,0,0,0,0,0
1426,by this time i was already wondering if they thought we re idiots and they can just make us wait and treat however they want  i just realised that it was true ,0,0,0,1,0
1427,after soup and buttermilk starters were served painfully slow ,0,0,0,1,0
1428,it took more than an hour for them to finish serving just 6 starters ,0,0,0,0,0
1429,were they kidding me  ,0,0,0,0,0
1430,they wasted my precious time and this isn t what a customer wants ,0,0,0,1,0
1431,if you can t give importance to our time then we better eat elsewhere ,0,0,0,0,0
1432,we had to school the waiters regarding their service  then we spoke to their leader i guess  and he also gave the same old typical answer  sorry ,0,0,0,1,0
1433,i ll just get that served for you  ,0,0,0,0,0
1434,we don t want no sorry ,0,0,0,0,0
1435,you can t placate us with sorry for our time  hard work and money spent ,0,0,0,0,0
1436,after seeing no improvement we finally had to speak to the manager as listen to  sorrys  ,0,0,0,0,0
1437,i decided to leave the restaurant ,0,0,0,0,0
1438,after all this he had the audacity to charge us the complete bill ,0,0,0,0,0
1439,it was 1100 ,0,0,0,0,0
1440,it wasn t even worth it even if we had the whole menu ,0,0,0,0,0
1441,after arguing he decided to give 10  discount which in his case made a hole in his pocket as as if it would make it up for the experience we had  ,0,0,0,0,0
1442,wouldn t suggest nor would even like to think about this restaurant ,0,0,0,0,0
1443,starters  i found the starters to be normal good in quality ,0,1,0,0,0
1444,not very impressive nor was menu standing out ,0,0,0,0,0
1445,if you pay 100 200 more you ll be getting much better restaurant in many aspects especially in terms of food ,0,0,0,0,0
1446,1 ,0,0,0,0,0
1447,soup  we were served chicken soup ,0,0,0,0,0
1448,it wasn t impressive ,0,1,0,0,0
1449,it was fine ,0,1,0,0,0
1450,2 ,0,1,0,0,0
1451,buttermilk under drinks  it was tasty ,0,0,0,0,0
1452,3 ,0,0,0,1,0
1453,chicken tikka  it was ok ,0,0,0,0,0
1454,it was hard  sometimes soft ,0,0,0,0,0
1455,4 ,0,1,0,0,0
1456,ajwani paneer tikka  it was very good in taste ,0,1,0,0,0
1457,5 ,0,0,0,0,0
1458,kodi vepudu  it was chicken with common known marination ,0,0,0,0,0
1459,i mean it felt like typical indian curry ,0,0,0,0,0
1460,it was just good ,0,1,0,0,0
1461,6 ,0,0,0,0,0
1462,fried veg green chilli  it was just ok in taste ,0,0,0,0,0
1463,couldn t make out if it s actually chilly ,0,0,0,0,0
1464,7 ,0,0,0,0,0
1465,corn fried fish  it was fish coated with corn flakes which was giving nice honey taste ,0,0,0,0,0
1466,probably this is the only best thing there ,0,0,0,0,0
1467,is that what oder fry pieces biryani     no one will speak that it s fry pieces biryani ,0,0,0,0,0
1468,it s a chicken curry with only onions,0,0,0,0,0
1469,pathetic place ,0,0,0,0,0
1470,we had ordered for non spicy food but what they served us was tasteless spicy food ,0,0,0,1,0
1471,also when we wanted to order for dessert they said everything in the dessert menu got over by lunch and hence there is nothing left for dinner ,0,0,0,0,0
1472,the ordered food was not good spoilt ,0,1,0,0,0
1473,we have been to urban asia   kitchen   bar  gachibowli ,0,0,0,0,0
1474,we ordered crisp noodles  shrimps  with sweet and sour sauce which was obviously a wrong choice ,0,1,0,0,0
1475,crispy noodles is never a right choice  at least for me  wherever you go and sweet n sour soup with shrimps just made it worse ,0,1,0,0,0
1476,i am a seafood lover and the quantity and size of shrimps didn t justify its price ,0,1,0,0,0
1477,next was standing pomfret dish in schezwan sauce   which turned out to be a disappointment ,0,1,0,0,0
1478,who prepares pomfret in all purpose flour ,0,0,0,0,0
1479,it was not good at all ,0,1,0,0,0
1480,food is too spicy schezwan chicken fried rice that we cannot keep it in mouth ,0,1,0,0,0
1481,had to throw all the food ,0,1,0,0,0
1482,waste of money ,0,0,0,0,1
1483,i think they kept chilli powder on top,0,0,0,0,0
1484,i had the worst experience with the food and the service food is not great and the service took so long the place is not totally air conditioned and the staff is a bit rude to customers ,0,1,1,1,0
1485,it has absolutely nothing for vegetarians ,0,0,0,0,0
1486,there are a couple of starters  but that is pretty much it ,0,0,0,0,0
1487,absolutely no variety either for the main course and even the deserts were disappointing ,0,1,0,0,0
1488,all in all a pretty disappointing experience that felt heavy on the pocket ,0,0,0,0,1
1489,hope you will start considering vegetarians and their palates too ,0,0,0,0,0
1490,this is the quantity of chicken garlic fried rice     everything we ordered is of so less quantity    ,0,1,0,0,0
1491,terrible i hate to spend 800 and still be hungry    total embezzel,0,0,0,0,1
1492,ordered family pack but delivered regular biryani,0,0,0,1,0
1493,we didn t receive what we ordered ,0,0,0,1,0
1494,it was cold an tasted b d     what do you do for that    ,0,1,0,0,0
1495,delivery boy was rude and talked rubbish things  ,0,0,0,1,0
1496,also zomato representative confirm that it will get credited to zomato wallet but still it has not happened,0,0,0,1,0
1497,very worst taste i have ever had in my life ,0,1,0,0,0
1498,even compared to others like ks bakers  karachi bakery pizza are better than this ,0,0,0,0,0
1499,don t want to refer ,0,0,0,0,1
1500,no raita no dry fruits  no onions,0,1,0,0,0
1501,worst experience especially at gachibowli branch no proper management ,0,0,0,1,0
1502,food was not cooked properly ,0,1,0,0,0
1503,food quality was worst and quantity was less and prices were huge ,1,1,0,0,0
1504,the worst food i ever had  ,0,1,0,0,0
1505,starters and main course is so worst to taste and you can eat julabjamun pieces by searching them in the water  ,0,1,0,0,0
1506,been there with friends ,0,0,0,0,0
1507,they took 2 hours to get a starter ,0,0,0,1,0
1508,no lights and he refused to turn on lights ,0,0,0,1,0
1509,regret visiting this place   ,0,0,0,0,0
1510,i will not go there again,0,0,0,0,1
1511,can t review it as the order and the delivery are not matching  ,0,0,0,1,0
1512,disappointed  ,0,0,0,0,1
1513,their delivery sucks their customer service has dropped pathetic customer service very rude delivery guys who have no manners how to speak to women i will never order from kfc again really if you continue to misbehave   ill treat your customers you will pay for it   you will be chucked out of india like mac donalds okay never threaten your customers you guys are disgusting will never order from you again   i hope you shut down because you do not respect your customers any more pathetic   disgusted with kfc ,0,0,0,1,0
1514,waste of money and worst taste i have ever tasted and very disappointed with zomato again   ,0,1,0,0,0
1515,on my view please eliminate this restaurant from your orders wallet and save your clients ,0,0,0,0,0
1516,thanks in advance ,0,0,0,0,0
1517,if there was minus rating  i would have given that ,0,0,0,0,0
1518,momos were cold ,0,1,0,0,0
1519,too much cheese and also it smelled stale,0,1,0,0,0
1520,we were here to give our treat to a group of friends ,0,0,0,0,0
1521,what started out with cold barbeque  bad grills turned out to worst ,0,1,0,0,0
1522,i have been to this place for random dinner with friends and it was the most stupid decision  ,0,0,0,0,1
1523,the place is the perfect example of mismanagement ,0,0,0,1,0
1524,the food was also pathetic ,0,1,0,0,0
1525,we have ordered sambhar rice after a lot of disappointment thinking that atleast it will come on time and will be good in taste but i guess they were checking our patience and it took almost 20 25mins for us to get that ,0,1,0,1,0
1526,they were so slow even in providing bill and on top of that they have added service charge without even our notice ,1,0,0,1,0
1527,i have given two stars only because the manager   owner  not sure  was really very courteous and he has asked not to pay by acknowledging our complaints ,0,0,0,1,0
1528,went on a sat noon ,0,0,0,0,0
1529,food is ok type  not that tasty  mayonese is sweet       wtf  ,0,1,0,0,0
1530,    ,0,1,0,0,0
1531,  mutton is not tasty ,0,1,0,0,0
1532,chicken starter was crispy   reason for 2     ,0,1,0,0,0
1533,i didn t like the desert also ,0,0,0,0,1
1534,really average  had buffet lunch    ,0,1,0,0,0
1535,served everything on table   ,0,0,0,1,0
1536,nothing great about it   really average interiors   food was just not bad   but just above bad   passing marks u could say in terms of food   ambience and money   wouldn t recommend it and big no for a 2nd time  tried and forgotten  ,1,1,1,0,0
1537,i went for dinner with my friends ,0,0,0,0,0
1538,the food is good ,0,1,0,0,0
1539,we ordered chicken manchow soup  apolo fish as starters and alfredo pasta as the main course ,0,1,0,0,0
1540,butt we found a cockroach on the table while we were having our dinner ,0,1,0,0,0
1541,so  2 star as it really freaked me out ,0,0,0,0,1
1542,ordered noodles and received without a fork    how am i supposed to eat  ,0,0,0,1,0
1543,went with our friends for a casual lunch on friday as usual it was soo rush and waiters and staff over there are in hurry to serve us fast and want to throw us out of the restaurant   yeahh it s fine we can understand but there should be a polite way to convey the same it should not be like ur time is done  leave now  leave now    that is a negative of the management over there ,0,0,0,1,0
1544,coming to the food for veg  the starters are only 3    potato  crispy corn and mushroom and on the grill pineapple and paneer ,0,1,0,0,0
1545,not a worthy starters for veg for non veg   starters were good  there are all varieties of non vegetarian on grill and served in plates main course   not at all worthy   and not tasty    only one rice item  tasteless and curries and other items were not tasty salads were good chat items not worthy deserts are good  3 desi sweets and as usual pastries cakes and pudding and lastly the people working over there forces us to give 5 rating on zomato even before we complete our lunch and leave out ,0,1,0,1,0
1546,they want us to give the rating infront of them finally ambience 3 5 food 2 5 service 4 5,0,0,0,1,0
1547,hi this time  we are not satisfied in flechazo  ,0,1,0,0,0
1548,starters are not much hot   most of them are room temparature or little warm   we have asked for fish starter   we got only two pieces   bbq wings are not good   tooo hard    mango chilli prawns not much tasty    only maida coating smell   no flavour nothing    we are not happy with flechazo  gachibowli   ,0,1,0,0,0
1549,please look at the below image ,0,0,0,0,0
1550,this is how i got my order when i order from zomato ,0,0,0,0,0
1551,i had a confusion to eat it or gulp it ,0,1,0,0,0
1552,however i gave 2   for the browny,0,1,0,0,0
1553,very spicy and vada is uncooked   disappointing,0,1,0,0,0
1554,the taste and quality of the food here is on a slippery slope ,0,1,0,0,0
1555,i used to love the boston creme donut ,0,1,0,0,0
1556,what once used to have a juicy  creamy filling is now a miser s dab ,0,1,0,0,0
1557,burgers have also lost their taste and are mostly insincere ,0,1,0,0,0
1558,firstly the seeating space is less and the music for garden seating is really bad ,0,0,1,0,0
1559,some of the items in food menu were good but my mood was dampened by the extremely bad service ,0,1,0,1,0
1560,this not a place to spend more time or chill ,0,0,1,0,0
1561,i have been here many times ,0,0,0,0,1
1562,i like the food ,0,1,0,0,0
1563,but never order food online you ll get very cold food  inspite of instructions  to name a few samosa s  veg biryani ,0,0,0,1,0
1564,etc   you ll definitely regret ,0,0,0,0,1
1565,so less quantity at so high rate,1,0,0,0,0
1566,the food here was ok ,0,1,0,0,0
1567,but the service was worst ever ,0,0,0,1,0
1568,if you have 3 4hrs free time to spend then come here ,0,0,0,1,0
1569,the service is slow as sloth ,0,0,0,1,0
1570,we ordered starters got it after 30min ,0,0,0,1,0
1571,then got lunch after an hour ,0,0,0,1,0
1572,i guess they forget orders after you give them  you have to remind them atleast twice or thrice to get it ,0,0,0,1,0
1573,pathetic and horrible experience ambience and hospitality 1 food 1 chairs and tables were broken food is cold and tasteless buffet arrangement is not good could be a bit more spacious,0,1,1,0,0
1574,the bar ambiance is good ,0,0,1,0,0
1575,we ordered chilli broccoli and that had mix of broccoli and cauliflower ,0,1,0,0,0
1576,broccoli was tasty  ,0,1,0,0,0
1577,it is at the outer area so there was problem for booking a cab also at 8 30 pm while returning,0,0,1,0,0
1578,rotis are not delivered hot  not satisfied with ordered ,0,0,0,1,0
1579,hi tech bawarchi food is not pretty well ,0,1,0,0,0
1580,masala not there and chicken also very small piece and quantity of rice is also low following this raita also very low quantity   not satisfyable if you feel hungry   ,0,1,0,0,0
1581,went for team lunch ,0,0,0,0,0
1582,have been here in the past too but experience this time was not at all good ,0,0,0,0,1
1583,food was not good especially the ones that were refilled ,0,1,0,0,0
1584,it appeared as if chef changed in between ,0,0,0,0,0
1585,breads were too dense  desserts too sweet  chicken overcooked ,0,1,0,0,0
1586,most disappointing was the service which is not at all expected from a brand like hyatt ,0,0,0,1,0
1587,very slow service with a i don t care attitude ,0,0,0,1,0
1588,had to wait very long for some of the requests ,0,0,0,1,0
1589,the only good thing was probably the decor ,0,0,1,0,0
1590,and no one will come back only for that ,0,0,0,0,1
1591,extremely disappointed with the food taste we have ordered kodi roast which was average when compared to godavari royyala vepudu we usually expect dry item when it is named as vepudu but we got gravy and semi gravy items same experience with two more items kakathiya mamsam vepudu biryani and kodi vepudu biryani  ,0,1,0,0,0
1592,even the prices are extremely high if taste is better no one would be bothered about price  ,1,1,0,0,0
1593,after going through the amazing reviews i tried red velvet cupcakes ,0,1,0,0,0
1594,honestly it s not worth at all ,0,1,0,0,0
1595,the frosting on cupcake wasn t fresh ,0,1,0,0,0
1596,it tasted below average cake ,0,1,0,0,0
1597,not worth the money ,1,0,0,0,0
1598,we went to the first floor confused whether to go to shanghai chef or kobe s  later to realise they are in the same restaurant  i e they share floor space  ,0,0,0,0,0
1599,we decided to order chinese ,0,0,0,0,0
1600,we had the dimsum platter  3 5   kung pao chicken  2 5   dragon prawns  2 5  and fried ice cream  4 5  ,0,0,0,0,0
1601,the chicken was hard inside  not indicative of fresh chicken   the prawns were sweet and the dimsums had thick coatings ,0,1,0,0,0
1602,i did not enjoy my time at shanghai chef ,0,0,0,0,1
1603,so maybe when you re there  just try the sizzler ,0,0,0,0,0
1604,ill update my review when i have it ,0,0,0,0,0
1605,kobe s is a really famous chain for sizzlers ,0,0,0,0,0
1606,really small portions and avg tatse ,0,1,0,0,0
1607,there are tons of places much better ,0,0,0,0,1
1608,nice ambience  wonderful service but not so wonderful food ,0,1,1,1,0
1609,ordered the thai green curry  was just a watery mess  probably the worst ever had ,0,1,0,0,0
1610,kung pao chicken was overly sweet  the noodles were just tossed around in a few eggs and probably 2 pieces of chicken ,0,1,0,0,0
1611,the rice was very dry giving us an overall average experience ,0,1,0,0,0
1612,i ordered thai chicken rice ,0,0,0,0,0
1613,first of all  it is on the expensive side ,1,0,0,0,0
1614,second  the quantity wasn t good  third it was spicy ,0,1,0,0,0
1615,seems like they are spending more on fancy packaging than the actual food ,0,1,0,1,0
1616,i ordered amritsari nan and chana masala ,0,0,0,0,0
1617,nan was bit ok but chana was worthless ,0,1,0,0,0
1618,it s raw and cooked in shahi paneer gravy ,0,1,0,0,0
1619,will never order food from here,0,0,0,0,1
1620,we went for lunch buffet ,0,0,0,0,0
1621,very limited options for starter   3 non veg 2 chicken and 1 fish  and 3 veg 2 potato and 1 paneer  ,0,1,0,0,0
1622,they were serving the starter cold ,0,1,0,0,0
1623,the tawa fish was over spicy and they didn t prepare a lesser spicy version of that even after our request ,1,0,0,1,0
1624,only chicken wings was good ,0,1,0,0,0
1625,main course was kind of good ,0,1,0,0,0
1626,egg fried rice and veg noodles were good ,0,1,0,0,0
1627,chicken biriyani was stale ,0,1,0,0,0
1628,dessert was good ,0,1,0,0,0
1629,chocolate cake  gulaab jamoon and ice cream were good ,0,1,0,0,0
1630,semiya kheer was horrible ,0,1,0,0,0
1631,heard a lot about this small food joint and the north indian stuff they make ,0,0,0,0,0
1632,should say i m disappointed  looks like the quality is not the same as before  even the price is a bit high compared to other places with similar taste ,1,1,0,0,0
1633,i am sorry to say this but nothing  i mean nothing in this place was exceptionally good ,0,0,0,0,1
1634,from food  to taste  to hygiene  to the supporting staff  to the ambience   nothing just made me food good and welcomed ,0,1,1,1,0
1635,we were a group of people who went there and none of us were happy with the food  or the food spread  or the taste specially ,0,1,0,0,0
1636,i remember nothing from what i ate as extraordinarily good ,0,1,0,0,0
1637,i have been to westin buffet  novotel buffet  trident buffet  avasa buffet and alllllll were way way better than this place ,0,0,0,0,0
1638,there has been absolutely no work done on the ambience to look pretty or attractive ,0,0,1,0,0
1639,it also wasn t that clear like other restau ,0,0,0,0,0
1640,the place did not even smell good ,0,0,1,0,0
1641,i would never visit this place ,0,0,0,0,1
1642,food tastes good however had bad experience with freshness of food being served ,0,1,0,0,0
1643,happened once at eating out at restaurant and second time while ordered home delivery ,0,0,0,0,0
1644,didn t like the quality ,0,1,0,0,0
1645,seems like it s been stored,0,1,0,0,0
1646,not warm,0,1,0,0,0
1647,somedays it s decent but somedays it s so not good ,0,1,0,0,0
1648,yesterday we ordered fish paella and the rice was tasteless just dipped in chilli water ,0,1,0,0,0
1649,i love spicy food but not like this ,0,1,0,0,0
1650,we also ordered lamb bolognese and for both dishes it looks like they recycled the same generic masala mixture ,0,1,0,0,0
1651,it was so pungent ,0,1,0,0,0
1652,ordered online from ola cravings  ,0,0,0,0,0
1653,donuts were not fresh ,0,1,0,0,0
1654,i ordered twice  ,0,0,0,0,0
1655,first time the donut was good but second time i got some stone in the donut which completly spoiled my taste ,0,1,0,0,0
1656,food   2 5 delivery   5 5,0,0,0,0,0
1657,not that great taste it quality id say,0,1,0,0,0
1658,dal was really bad and chinese veg manchurian was actually pieces taken out from gravy,0,1,0,0,0
1659,went there a week ago ,0,0,0,0,0
1660,the foods were average i will rate the food a 3 out of 5 ,0,1,0,0,0
1661,now come to the service   we ordered 3 butter chicken but they gave us 1  so had to wait for another 15 20mins to get the other butter chicken  please do not compare the taste of butter chicken if youre from north india   the restaurant looks good from the outside  but inside house flies will accompany you with your food and friends  ,0,1,0,1,0
1662,ordered steamed veg  paneer and chicken ,0,0,0,0,0
1663,chicken was okayish ,0,1,0,0,0
1664,paneer was nothing but onion ,0,1,0,0,0
1665,veg is a total no no ,0,1,0,0,0
1666,on a side note  who gives out mayo with momos  ,0,1,0,0,0
1667,very pocket friendly though ,1,0,0,0,0
1668,the food and ambience are average  ,0,1,1,0,0
1669,in starters egg fish and chicken are sort of better  ,0,1,0,0,0
1670,corn and all other veg ingredients are not up to what you expect it to be and moreover the main coarse is the worst to have  ,0,1,0,0,0
1671,the desserts are decent and the fruits are the best  ,0,1,0,0,0
1672,i would not recommend a buffet here because the money you spent here goes down the drain think before you go ,0,0,0,0,1
1673,the moctails they serves was the worst  ,0,1,0,0,0
1674,ambience wise it s the best rooftop place one could possibly ask for ,0,0,1,0,0
1675,the behaviour of staff however is highly disappointing ,0,0,0,1,0
1676,they have this bad attitude as though you re blessed to be dining there  now that certainly isn t accomodating  is it  ,0,0,0,1,0
1677,in fact  it ruined the entire experience despite the place being amazing and food being great ,0,1,1,0,0
1678,i guess it really is important to keep tabs on whom you re hiring ,0,0,0,1,0
1679,i ordered a home delivery of steamed chicken momos  since it was the bestseller ,0,0,0,0,0
1680,the momos tasted old and chicken tasted lemony ,0,1,0,0,0
1681,the sauce was traditional red sauce that had no flavour because of excess water added and other sauce was store bought mayo ,0,1,0,0,0
1682,i had to throw the momos away,0,1,0,0,0
1683,to be honest  it is an average place to hang out ,0,0,0,0,1
1684,the cold coffee or drinks made by me tastes better than what is served here ,0,1,0,0,0
1685,minimal efforts have been done to maintain customer satisfaction ,0,0,0,1,0
1686,almost all the items tastes average and not worth the money ,1,1,0,0,0
1687,for the first time in my life someone justified to me that burnt noodle tastes as such because the item is a sizzler  ,0,0,0,1,0
1688, ,0,0,0,0,0
1689,roti delivered was very bad and was smelly half cooked,0,1,0,0,0
1690,i recommend it for elderly ,0,0,0,0,0
1691,disappointed    with taste have tried starter  roti   biryani ,0,1,0,0,0
1692,taste so so normal but every dish is less in masala and has below normal taste not a good place for hangout,0,1,0,0,0
1693,we ordered four different ice creams 1 chocolate ecstasy 2 chocolate chocolate sundae 3 chocolate banana split 4 the chocolate room brownie sundae and all of them were same,0,1,0,0,0
1694,place was a complete let down ,0,0,1,0,0
1695,was there for lunch on sunday and was disappointed ,0,0,0,0,1
1696,the veg stack in the western section was actually a spicy paneer which was basically spicy filling between 2 slices of paneer and topped with a chilli sauce ,0,1,0,0,0
1697,2 dishes took 40 mins to come while 1 was served in 12 mins ,0,0,0,1,0
1698,staff were lost and seemed to be recovering from a late night on saturday ,0,0,0,1,0
1699,the only saving grace were the drinks ,0,1,0,0,0
1700,so unless you want to go and just have a drink and then more drinks  skip the place ,0,0,0,0,1
1701,very less quantity,0,0,0,0,1
1702,except for service and the starters to some extent nothing was good at this place we tried the buffet and after starters nothing was worth eating and i successfully wasted rs 649  i hope they improve it when i visit the next time ,0,1,0,1,0
1703,went this place for my friends birthday although it was weekday so crowd won t be that loud ,0,0,0,0,0
1704,i found this place ok for chill out not much happening as well ,0,0,0,0,1
1705,we sat outside in open area which was good  also it was but chiller that day so moonsoon was really awesome ,0,0,1,0,0
1706,now coming to food and other stuffs ,0,0,0,0,0
1707,as i am complete vegeterain one incident happened that day like we ordered two veg pizzas there and confimed the ordered twice to waiter  first pizza was correct and good but second pizza we told him to get it after some time as he served there was topping on pizza which was looking like carrot but as i had some confusion with that thing i closely looked and saw it was not veg   i told to re confirm in kitchen so it came out to be non veg it was pork or something like that ,0,1,0,1,0
1708,i was very dissapoint with the management and post that no came to feel sorry as well with wrong that giving on our plates ,0,0,0,1,0
1709,i was totally disappoint with instance giving low rating and also very bad experience ,0,0,0,0,1
1710,for other thing i ordered the food was good ,0,1,0,0,0
1711,more spicy cannot eat,0,1,0,0,0
1712,had their speciality   makee di roti   sanson ka saag   no where close to what a real saag ,0,1,0,0,0
1713,gazar ka halwa   omg   chef never had gazar ka halwa in life   so pathetic ,0,1,0,0,0
1714,giving 2 rating as starter was good   paneer szechwan ,0,1,0,0,0
1715,good ambience ,0,0,1,0,0
1716,pricing also very decent ,1,0,0,0,0
1717,but overall taste of punjab missing,0,1,0,0,0
1718,i am a big soup fan and both hot and sour and tomato soup was disappointing ,0,1,0,0,0
1719,the starter was too paste like in the mouth ,0,1,0,0,0
1720,the garlic naan was amazing ,0,1,0,0,0
1721,daal makhani was below average ,0,1,0,0,0
1722,they gave us complimentary brownie and ice cream which was average as well ,0,1,0,0,0
1723,definitely not a place worth your money ,0,0,0,0,1
1724,this place served the worst indian food i could ever ask for in hyderabad ,0,1,0,0,0
1725,the towels were dirty and not properly washed ,0,0,0,1,0
1726,the food was just horrible ,0,1,0,0,0
1727,loud music from the pub above will spoil your dining experience even more and when i asked for outdoor seating they lied saying it s only a smokin  area ,0,0,1,0,0
1728,not visiting this place ever again ,0,0,0,0,1
1729,an extra star only coz of the interior otherwise this place is just worthy of a 1 star ,0,0,1,0,0
1730,we ordered alu parathas from here which turned out to be a mass of poorly cooked dry mass of wheat ,0,1,0,0,0
1731,do not know about the rest of the things they serve but not ordering again for sure ,0,0,0,0,1
1732,so  we had a combined birthday celebration for almost five people and housing a team of almost 50 ,0,0,0,0,0
1733,we decided to order cake from ks baker s ,0,0,0,0,0
1734,following is my experience on the same    presentation  looked lovely and the gum paste flowers on it just made our mouths to water ,0,1,0,0,0
1735,the colour was sharp and had the perfect blend of black and white ,0,1,0,0,0
1736,the presentation was superb ,0,1,0,0,0
1737,4 5  delivery  got everything delivered on time ,0,0,0,1,0
1738,nothing outstanding ,0,0,0,0,1
1739,3 5 5  cake  now this is what was actually not good enough ,0,1,0,0,0
1740,the black forest tasted much different than any other black forest ,0,1,0,0,0
1741,black forest cake  a really huge cake for a good number of people ,0,0,0,0,0
1742,it tasted exactly like elaichi and nowhere like black forest ,0,1,0,0,0
1743,a damp squib ,0,1,0,0,0
1744,1 5  will i order from here again ,0,0,0,0,0
1745,the cake was a turn off but i would like to give them another chance because of the reviews i have read ,0,1,0,0,0
1746,taste should improve as it was not good in taste also everytime i order from here they don t give tomato ketchup there was an instance happend last time when i ordered they didn t gave me extra mayo which i ordered ,0,1,0,1,0
1747,we visited a day before diwali and we were deploy disappointed ,0,0,0,0,1
